site_code,stn_id,latitude,longitude,well_use
320000N1140000W001,51445,36.56048,-121.75463,Residential
325450N1171061W001,25067,32.545,-117.1061,Unknown
325450N1171061W002,25068,32.545,-117.1061,Unknown
325450N1171061W003,39833,32.545,-117.1061,Unknown
325450N1171061W004,25069,32.545,-117.1061,Unknown
325450N1171061W005,38479,32.545,-117.1061,Unknown
325493N1170884W001,35592,32.5493,-117.0884,Unknown
325536N1170608W001,48699,32.55361,-117.06083,Observation
325538N1170626W001,20460,32.5538,-117.0626,Unknown
325538N1170626W002,35590,32.5538,-117.0626,Unknown
325538N1170626W003,20461,32.5538,-117.0626,Unknown
325538N1170626W004,20462,32.5538,-117.0626,Unknown
325538N1170626W005,35591,32.5538,-117.0626,Unknown
325541N1170868W001,20463,32.5541,-117.0868,Unknown
325590N1170755W001,24945,32.559,-117.0755,Unknown
325590N1170755W002,38198,32.559,-117.0755,Unknown
325590N1170755W003,24946,32.559,-117.0755,Unknown
325590N1170755W004,38199,32.559,-117.0755,Unknown
325590N1170755W005,24947,32.559,-117.0755,Unknown
325910N1170835W001,24942,32.591,-117.0835,Unknown
325910N1170835W002,38196,32.591,-117.0835,Unknown
325910N1170835W003,24943,32.591,-117.0835,Unknown
325910N1170835W004,38197,32.591,-117.0835,Unknown
325910N1170835W005,24944,32.591,-117.0835,Unknown
325910N1170835W006,48698,32.59099,-117.08351,Observation
325918N1170870W001,32910,32.5918,-117.087,Unknown
326183N1170652W001,24941,32.6183,-117.0652,Unknown
326197N1170612W001,38195,32.6197,-117.0612,Unknown
326296N1163759W001,17060,32.6296,-116.3759,Unknown
326357N1164680W001,17058,32.6357,-116.468,Unknown
326402N1163812W001,17059,32.6402,-116.3812,Unknown
326416N1164700W001,17057,32.6416,-116.47,Unknown
326427N1164692W001,32911,32.6427,-116.4692,Unknown
326446N1163676W001,32912,32.6446,-116.3676,Unknown
326463N1163684W001,18508,32.6463,-116.3684,Unknown
326471N1163465W001,18509,32.6471,-116.3465,Unknown
326474N1164722W001,18487,32.6474,-116.4722,Unknown
326477N1163837W001,18505,32.6477,-116.3837,Unknown
326482N1163659W001,36228,32.6482,-116.3659,Unknown
326485N1163729W001,18506,32.6485,-116.3729,Unknown
326488N1163729W001,36226,32.6488,-116.3729,Unknown
326516N1163681W001,18507,32.6516,-116.3681,Unknown
326524N1164733W001,18486,32.6524,-116.4733,Unknown
326544N1170982W001,24935,32.6544,-117.0982,Unknown
326544N1170982W002,38191,32.6544,-117.0982,Unknown
326544N1170982W003,24936,32.6544,-117.0982,Unknown
326544N1170982W004,38192,32.6544,-117.0982,Unknown
326544N1170982W005,24937,32.6544,-117.0982,Unknown
326546N1163523W001,36227,32.6546,-116.3523,Unknown
326552N1163876W001,18504,32.6552,-116.3876,Unknown
326593N1160025W001,18515,32.6593,-116.0025,Unknown
326596N1158480W001,18517,32.6596,-115.848,Unknown
326652N1163731W001,18503,32.6652,-116.3731,Unknown
326657N1163731W001,36225,32.6657,-116.3731,Unknown
326682N1170240W001,17646,32.6682,-117.024,Unknown
326693N1158914W001,36234,32.6693,-115.8914,Unknown
326704N1158547W001,18516,32.6704,-115.8547,Unknown
326743N1163565W001,36224,32.6743,-116.3565,Unknown
326746N1163559W001,18502,32.6746,-116.3559,Unknown
326749N1163331W001,18501,32.6749,-116.3331,Unknown
326749N1163348W001,36223,32.6749,-116.3348,Unknown
326774N1157647W001,36235,32.6774,-115.7647,Unknown
326796N1170132W001,18485,32.6796,-117.0132,Unknown
326821N1171124W001,24932,32.6821,-117.1124,Unknown
326821N1171124W002,38189,32.6821,-117.1124,Unknown
326821N1171124W003,24933,32.6821,-117.1124,Unknown
326821N1171124W004,38190,32.6821,-117.1124,Unknown
326821N1171124W005,24934,32.6821,-117.1124,Unknown
326821N1171124W006,48697,32.68209,-117.11241,Observation
326874N1159247W001,36232,32.6874,-115.9247,Unknown
326878N1170856W001,24929,32.6878,-117.0856,Unknown
326878N1170856W002,38150,32.6878,-117.0856,Unknown
326878N1170856W003,24930,32.6878,-117.0856,Unknown
326878N1170856W004,38188,32.6878,-117.0856,Unknown
326878N1170856W005,24931,32.6878,-117.0856,Unknown
326882N1159239W001,36233,32.6882,-115.9239,Unknown
326885N1159241W001,18514,32.6885,-115.9241,Unknown
326888N1159272W001,18513,32.6888,-115.9272,Unknown
326899N1159264W001,18512,32.6899,-115.9264,Unknown
326899N1159269W001,36231,32.6899,-115.9269,Unknown
326924N1163381W001,39155,32.6924,-116.3381,Unknown
326924N1163393W001,18500,32.6924,-116.3393,Unknown
326932N1163337W001,36220,32.6932,-116.3337,Unknown
326932N1163345W001,18498,32.6932,-116.3345,Unknown
